鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
大同區,房地(土地+建物),臺北市大同區迪化街一段２８３號七樓,8.69,其他,,,1070102,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760803,62.24,2,1,1,有,有,8071940,129691,,0.0,0,,RPRPMLLMJHNFFBA47CA,45.35,0.0,5.12,,
北投區,房地(土地+建物),臺北市北投區知行路３３６號五樓之６,4.91,其他,,,1070101,土地1建物1車位0,五層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860122,33.57,1,1,1,有,有,3680000,109622,,0.0,0,,RPVPMLTJJHNFFEA68CA,17.58,1.08,2.62,,
北投區,房地(土地+建物),臺北市北投區永興路2段19號,79.0,住,,,1070104,土地1建物1車位0,全,,透天厝,住家用,加強磚造,0560627,99.12,0,0,0,無,無,11720672,118247,,0.0,0,,RPWOMLKKJHNFFEA97DA,99.12,0.0,0.0,,
大同區,房地(土地+建物),臺北市大同區重慶北路二段１９６號九樓之２,3.88,商,,,1070109,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731116,43.4,1,2,1,有,有,8000000,184332,,0.0,0,,RPTOMLQKJHNFFBA87CA,31.97,0.0,0.0,,
北投區,房地(土地+建物),臺北市北投區西安街一段１８９號三樓之１,9.95,住,,,1070102,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,1010320,55.76,2,1,1,有,有,12600000,225968,,0.0,0,,RPROMLTKJHNFFEA28CA,24.53,6.04,2.97,,
北投區,房地(土地+建物),臺北市北投區中山路47號八樓之10,5.78,其他,,,1070104,土地8建物1車位0,八層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0730419,32.44,1,1,1,有,有,2760000,85080,,0.0,0,,RPUPMLMKJHNFFEA97CA,18.18,0.0,4.5,,
信義區,房地(土地+建物),臺北市信義區信義路六段76巷8弄12-1號,21.17,住,,,1070111,土地1建物1車位0,一層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650315,85.67,2,1,1,有,無,17000000,198436,,0.0,0,,RPROMLQLJHNFFDA08DA,85.67,0.0,0.0,,
中山區,房地(土地+建物),臺北市中山區新生北路3段26號11樓之4,3.32,商,,,1070103,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700703,31.770000000000003,1,1,1,有,有,4800000,151086,,0.0,0,,RPUPMLMKJHNFFCA77CA,24.67,0.0,0.0,,
大同區,房地(土地+建物),臺北市大同區酒泉街３４之２號五樓,26.18,商,,,1070102,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710526,140.51,3,1,2,有,無,17800000,126681,,0.0,0,,RPPNMLSKJHNFFBA57CA,98.03,0.0,18.21,,
內湖區,房地(土地+建物),臺北市內湖區民權東路六段１５０之１號二樓之８,3.87,商,,,1070102,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,47.870000000000005,1,1,1,有,無,8900000,185920,,0.0,0,,RPUPMLRKJHNFFCA28CA,24.51,1.3,3.71,,
