鄉鎮市區,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,建築完成年月,交易筆棟數,移轉層次,建物型態,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,主建物面積,附屬建物面積,陽台面積,電梯
士林區,臺北市士林區承德路四段１巷２１號九樓,24.09,住,1101101,0701231,土地4建物1車位1,九層,華廈(10層含以下有電梯),151.62,1,3,1,有,有,26500000,174779,坡道平面,108.48,0.0,13.14,有
文山區,臺北市文山區景興路５３巷４弄６號三樓,36.5,住,1101108,0660916,土地1建物1車位0,三層,公寓(5樓含以下無電梯),92.3,3,2,1,有,無,13820400,149733,,78.12,0.0,14.18,無
松山區,臺北市松山區南京東路五段２３９號十五樓之１５,5.25,都市：其他:聯合開發區(捷)。,1101101,0980331,土地1建物1車位0,十五層,住宅大樓(11層含以上有電梯),65.71000000000001,1,1,1,有,有,20300000,308933,,33.89,0.0,9.39,有
北投區,臺北市北投區溫泉路１３９號七樓之１４,9.54,都市：其他:特定休閒旅館住宅專用區。,1101104,0661017,土地4建物1車位0,七層,華廈(10層含以下有電梯),35.93,0,0,0,無,有,3600000,100195,,26.43,0.0,3.5,有
大安區,臺北市大安區建國南路二段５７號十五樓,66.15,住,1101103,1070802,土地2建物1車位3,十五層,住宅大樓(11層含以上有電梯),577.64,0,0,0,無,有,380000000,760822,坡道平面,252.08,8.23,33.9,有
中山區,臺北市中山區農安街１９號三樓之９,5.0,商,1101107,0920618,土地1建物1車位0,三層,住宅大樓(11層含以上有電梯),47.74,1,1,1,有,有,9800000,205279,,27.01,0.83,3.71,有
文山區,臺北市文山區指南路二段４５巷１０弄１１號三樓,25.98,住,1101115,0701231,土地1建物1車位0,三層,公寓(5樓含以下無電梯),112.23,2,2,1,有,無,17650000,157266,,81.66,0.0,15.87,無
萬華區,臺北市萬華區開封街二段３２號九樓之２,4.71,商,1101105,0800128,土地1建物1車位0,九層,華廈(10層含以下有電梯),43.239999999999995,1,1,1,有,有,8700000,201203,,30.03,0.0,2.52,有
中山區,臺北市中山區南京東路一段３１巷２號五樓,32.14,商,1101108,0980316,土地1建物1車位2,五層,華廈(10層含以下有電梯),238.34,3,2,2,有,有,69500000,291600,塔式車位,121.74,7.65,13.17,有
南港區,臺北市南港區興華路３０巷１１號三樓,19.37,住,1101116,0790109,土地1建物1車位0,三層,住宅大樓(11層含以上有電梯),121.89,2,2,1,有,有,22122000,181492,,83.7,3.37,11.71,有
北投區,臺北市北投區中山路３號五樓之８,14.36,都市：其他:特定觀光商業專用區。,1101116,0920127,土地1建物1車位0,五層,住宅大樓(11層含以上有電梯),101.1,2,1,2,有,有,18000000,178042,,54.23,0.0,16.91,有
士林區,臺北市士林區福國路９５號四樓之１８,9.44,商,1101101,0660811,土地1建物1車位0,四層,華廈(10層含以下有電梯),49.45,2,1,1,有,有,11060000,223660,,47.85,0.0,1.6,有
信義區,臺北市信義區信義路五段１５０巷１２號十樓,72.86,住,1101108,1060210,土地1建物1車位3,十層,住宅大樓(11層含以上有電梯),535.73,3,2,4,有,有,202200000,432637,坡道平面,231.7,22.6,31.76,有
中正區,臺北市中正區仁愛路二段６５巷１弄７號三樓之１,61.42,都市：其他:第三種住宅區。,1101102,0941226,土地2建物1車位0,三層,華廈(10層含以下有電梯),204.72,5,2,2,有,有,69900000,341442,,127.68,3.03,15.26,有
大安區,臺北市大安區市民大道四段１２４號三樓,7.02,住,1101110,0760619,土地1建物1車位0,三層,華廈(10層含以下有電梯),37.7,1,1,1,有,有,9000000,238727,,21.65,0.0,5.88,有
文山區,臺北市文山區指南路三段２２巷１２號九樓,54.94,住,1101101,1010906,土地1建物1車位2,九層,住宅大樓(11層含以上有電梯),286.28,4,2,2,有,有,34500000,144263,坡道平面,120.53,10.01,13.62,有
萬華區,臺北市萬華區華西街３０巷１０弄２號二樓,1.75,商,1101105,0600121,土地1建物1車位0,二層,公寓(5樓含以下無電梯),67.28,2,1,1,有,無,5500000,81748,,67.28,0.0,0.0,無
士林區,臺北市士林區延平北路五段２８５巷９１號三樓,13.71,住,1101101,1050608,土地1建物1車位0,三層,公寓(5樓含以下無電梯),63.3,1,1,1,有,有,8200000,129542,,31.88,6.04,4.79,無
士林區,臺北市士林區社中街３４６巷１弄８之１號四樓,19.54,住,1101109,1100706,土地1建物1車位1,四層,華廈(10層含以下有電梯),110.28999999999999,2,1,1,有,無,11760000,106628,升降平面,41.44,0.0,5.02,有
萬華區,臺北市萬華區東園街２８巷５０號五樓之９,6.22,住,1101113,0810921,土地1建物1車位0,五層,華廈(10層含以下有電梯),35.25,1,1,1,有,有,4100000,116312,,19.86,0.0,3.27,有
萬華區,臺北市萬華區環河南路二段１７號十樓,9.95,商,1101103,1090807,土地2建物1車位1,十層,住宅大樓(11層含以上有電梯),143.88,2,2,1,有,有,23000000,159855,坡道平面,57.26,7.65,5.1,有
文山區,臺北市文山區木柵路三段１６８號二十一樓之２,14.76,商,1101108,1060511,土地1建物1車位1,二十一層,住宅大樓(11層含以上有電梯),235.37,3,2,2,有,有,38500000,163572,坡道平面,104.62,12.9,8.07,有
中山區,臺北市中山區新生北路三段８７巷１１號四樓,15.32,住,1101105,1090724,土地1建物1車位0,四層,華廈(10層含以下有電梯),78.16,2,1,1,有,有,15000000,191914,,30.05,7.1,4.52,有
士林區,臺北市士林區福港街１６６號五樓,26.28,住,1101101,0700907,土地1建物1車位0,五層,公寓(5樓含以下無電梯),106.94,3,2,2,有,無,12500000,116888,,91.38,0.0,7.14,無
文山區,臺北市文山區新光路一段１８３號六樓,39.0,住,1101104,1011113,土地2建物1車位1,六層,華廈(10層含以下有電梯),224.35,4,2,2,有,有,35500000,158235,坡道機械,117.36,11.24,14.18,有
信義區,臺北市信義區莊敬路３５１號三樓,24.97,商,1101101,0790105,土地1建物1車位0,三層,華廈(10層含以下有電梯),129.99,3,2,2,有,無,31100000,239249,,93.58,15.56,0.0,有
松山區,臺北市松山區民生東路五段１７８號十四樓,15.57,商,1101106,0680521,土地1建物1車位0,十四層,住宅大樓(11層含以上有電梯),130.43,3,2,2,有,有,34500000,264510,,100.85,0.0,12.58,有
南港區,臺北市南港區成福路１６８號六樓之４,12.98,都市：其他:第三種住宅區。,1101106,0840627,土地2建物1車位0,六層,華廈(10層含以下有電梯),64.54,1,0,1,有,有,10000000,154943,,28.08,6.12,3.04,有
士林區,臺北市士林區福港街１０５號二樓,23.5,商,1101107,0650116,土地1建物1車位0,二層,公寓(5樓含以下無電梯),73.68,2,1,1,有,無,11650000,158116,,73.68,0.0,0.0,無
中山區,臺北市中山區德惠街３４號十樓之６,2.73,商,1101105,0681219,土地1建物1車位0,十層,住宅大樓(11層含以上有電梯),21.150000000000002,1,1,1,有,有,3900000,184397,,17.37,0.0,0.0,有
大安區,臺北市大安區信義路三段１３４巷１０２號十五樓,29.22,住,1101111,0750415,土地1建物1車位0,十五層,住宅大樓(11層含以上有電梯),146.85,3,2,2,有,有,34300000,233588,,106.46,0.55,13.23,有
中山區,臺北市中山區松江路７６號十二樓,18.34,商,1101108,0731222,土地1建物1車位0,十二層,住宅大樓(11層含以上有電梯),174.45,0,0,0,無,有,41475000,237747,,122.59,9.83,2.33,有
內湖區,臺北市內湖區民權東路六段１４６號七樓之１１,4.44,商,1101103,0960621,土地1建物1車位1,七層,住宅大樓(11層含以上有電梯),50.57,1,1,1,有,有,10700000,211588,坡道機械,27.74,0.95,0.0,有
中正區,臺北市中正區衡陽路２６號三樓之２,8.37,商,1101112,1050503,土地1建物1車位1,三層,住宅大樓(11層含以上有電梯),116.98,1,1,1,有,有,34000000,309109,其他,51.34,0.51,13.41,有
信義區,臺北市信義區基隆路二段１７７號三樓之２,11.12,商,1101104,0990901,土地2建物1車位1,三層,住宅大樓(11層含以上有電梯),165.4,2,2,1,有,有,34680000,250039,坡道平面,67.78,5.05,6.1,有
士林區,臺北市士林區士商路４０巷４號二樓,28.67,住,1101102,0680521,土地2建物1車位0,二層,公寓(5樓含以下無電梯),85.68,2,2,1,有,無,12000000,140056,,69.41,0.0,16.27,無
大安區,臺北市大安區建國南路一段３０８號十一樓之２,13.83,住,1101109,1070412,土地2建物1車位1,十一層,住宅大樓(11層含以上有電梯),147.57,3,2,2,有,有,50000000,421109,坡道機械,61.19,1.04,9.4,有
士林區,臺北市士林區社中街３４６巷１弄８號四樓,20.13,住,1101109,1100706,土地1建物1車位1,四層,華廈(10層含以下有電梯),112.69999999999999,2,1,1,有,無,12100000,107365,升降平面,42.99,0.0,5.05,有
松山區,臺北市松山區民生東路五段２７之１號二樓,16.99,都市：其他:住宅用地(民生社區特定專用區)。,1101106,1060823,土地1建物1車位0,二層,華廈(10層含以下有電梯),59.39,1,1,1,有,有,18700000,314868,,33.82,0.0,0.0,有
萬華區,臺北市萬華區環河南路二段１５５巷２號十一樓,4.9,都市：其他:特定專用區(二)(依都市計畫書圖規定辦理，始得比照特定專用區（一）使用) 但是否在特定專用區(二)(應依建築線或俟地籍測量分割後，再確定)。,1101115,0690729,土地1建物1車位0,十一層,住宅大樓(11層含以上有電梯),31.39,2,1,1,有,有,3000000,95572,,23.53,0.0,0.0,有
中正區,臺北市中正區衡陽路２６號十二樓,12.96,商,1101108,1050503,土地1建物1車位1,十二層,住宅大樓(11層含以上有電梯),174.1,2,1,2,有,有,51900000,308134,其他,88.07,0.61,12.65,有
中山區,臺北市中山區錦州街３０巷１１號十樓之５,2.09,商,1101106,0680613,土地1建物1車位0,十層,華廈(10層含以下有電梯),18.11,1,1,1,有,有,2800000,154611,,14.2,0.0,0.0,有
內湖區,臺北市內湖區內湖路二段１０３巷４２之５號二樓,27.02,住,1101102,1100223,土地1建物1車位1,二層,華廈(10層含以下有電梯),154.06,3,2,2,有,有,32000000,207711,坡道平面,68.3,5.35,9.76,有
內湖區,臺北市內湖區民權東路六段１７５號二樓之１,13.46,住,1101102,1041008,土地2建物1車位1,二層,住宅大樓(11層含以上有電梯),94.69,2,1,1,有,有,21760000,229803,塔式車位,43.16,5.62,4.24,有
中山區,臺北市中山區錦州街５０號九樓之２７,2.83,商,1101106,0730927,土地3建物1車位0,九層,住宅大樓(11層含以上有電梯),31.01,1,0,1,有,有,4500000,145114,,21.78,0.0,2.73,有
松山區,臺北市松山區南京東路五段２５１巷２４弄２９號,30.43,住,1101114,0691015,土地2建物1車位0,一層,華廈(10層含以下有電梯),102.83,3,2,1,有,無,27500000,267432,,74.71,12.32,0.0,有
萬華區,臺北市萬華區青年路５８號九樓之３,24.03,住,1101112,0711027,土地1建物1車位0,九層,住宅大樓(11層含以上有電梯),101.98,4,1,2,有,有,17000000,166699,,70.51,0.0,7.67,有
中山區,臺北市中山區通北街１４６巷２弄２號六樓,37.5,住,1101111,0880511,土地1建物1車位1,六層,華廈(10層含以下有電梯),179.18,3,2,2,有,有,24000000,133944,坡道平面,100.95,0.0,12.28,有
中山區,臺北市中山區新生北路一段４１號八樓,13.11,住,1101114,0730721,土地1建物1車位0,八層,住宅大樓(11層含以上有電梯),100.31,3,2,2,有,有,21080000,210149,,70.25,3.46,9.66,有
大安區,臺北市大安區安和路二段１６９號七樓,12.12,住,1101125,0730130,土地1建物1車位0,七層,住宅大樓(11層含以上有電梯),137.43,4,2,2,有,有,35880000,261078,,121.79,0.0,10.01,有
松山區,臺北市松山區復興北路３６１巷２號三樓,22.02,住,1101105,0740817,土地1建物1車位0,三層,華廈(10層含以下有電梯),129.13,3,2,2,有,無,37250000,288469,,108.06,0.0,13.08,有
信義區,臺北市信義區忠孝東路五段２９５巷２弄１５號三樓,29.04,住,1101104,0780425,土地1建物1車位0,三層,公寓(5樓含以下無電梯),124.1,3,2,2,有,有,23000000,185334,,81.02,0.0,9.14,無
內湖區,臺北市內湖區內湖路三段６０巷１２弄１２號四樓,31.12,住,1101107,0681128,土地1建物1車位0,四層,公寓(5樓含以下無電梯),105.42,3,2,2,有,無,14700000,139442,,87.86,0.0,17.56,無
中山區,臺北市中山區新生北路三段１號十二樓之１４,3.82,商,1101117,0700122,土地1建物1車位0,十二層,住宅大樓(11層含以上有電梯),37.45,1,1,1,有,有,6800000,181575,,26.51,0.0,0.0,有
大同區,臺北市大同區天水路５９號十樓,17.99,商,1101103,0860812,土地2建物1車位0,十層,住宅大樓(11層含以上有電梯),177.60000000000002,4,2,2,有,有,29000000,163288,,132.01,1.31,15.76,有
中正區,臺北市中正區金門街２４巷３５號四樓,7.06,住,1101109,0740904,土地1建物1車位0,四層,華廈(10層含以下有電梯),89.14,4,2,1,有,無,19250000,215952,,74.88,0.0,7.95,有
中正區,臺北市中正區寧波東街１２號七樓之１,20.97,住,1101105,0741022,土地1建物1車位0,七層,住宅大樓(11層含以上有電梯),119.91,3,2,1,有,有,28500000,237678,,72.73,0.0,7.79,有
中正區,臺北市中正區和平西路一段５９號九樓之１,5.5,商,1101102,0970513,土地2建物1車位0,九層,住宅大樓(11層含以上有電梯),48.620000000000005,1,1,1,有,有,16760000,344714,,30.47,1.01,0.0,有
中山區,臺北市中山區長安東路一段５６巷７弄２８號三樓,14.32,商,1101117,1050825,土地1建物1車位1,三層,華廈(10層含以下有電梯),71.8,1,1,1,有,有,15600000,217270,塔式車位,30.3,7.89,0.0,有
內湖區,臺北市內湖區陽光街１６１巷１２之３９號三樓,22.75,住,1101103,1080716,土地1建物1車位0,三層,華廈(10層含以下有電梯),44.11,1,1,1,有,有,11000000,249377,,23.41,0.0,3.55,有
信義區,臺北市信義區吳興街５８３巷１弄６號,22.0,住,1101103,0510201,土地1建物1車位0,全,透天厝,41.22,1,1,1,有,無,15000000,363901,,41.22,0.0,0.0,無
信義區,臺北市信義區永吉路１２７巷１１弄６號三樓,12.59,住,1101102,1061130,土地1建物1車位0,三層,華廈(10層含以下有電梯),56.91,1,0,1,有,有,13540000,237920,,23.35,2.13,4.25,有
信義區,臺北市信義區永吉路１２７巷１１弄６號六樓之１,12.76,住,1101103,1061130,土地1建物1車位0,六層,華廈(10層含以下有電梯),57.65,1,0,1,有,有,14490000,251344,,27.59,2.52,0.0,有
大安區,臺北市大安區敦化南路一段１３８號五樓之１,11.55,住,1101111,1090909,土地2建物1車位1,五層,住宅大樓(11層含以上有電梯),186.64,3,2,2,有,有,75500000,464499,坡道平面,91.91,4.39,6.97,有
大安區,臺北市大安區和平東路一段１４號十一樓,14.91,商,1101106,0760303,土地1建物1車位0,十一層,住宅大樓(11層含以上有電梯),141.31,3,2,1,有,有,39500000,279527,,100.28,1.58,6.94,有
中正區,臺北市中正區中華路一段９５巷９號四樓之１,23.56,商,1101102,1050622,土地1建物1車位2,四層,住宅大樓(11層含以上有電梯),359.38,3,2,3,有,無,79800000,271530,坡道平面,166.39,5.55,11.08,有
中山區,臺北市中山區新生北路二段２８巷１號七樓之４,10.2,,1101110,0780517,土地1建物1車位0,七層,住宅大樓(11層含以上有電梯),87.10000000000001,2,2,1,有,有,18600000,213548,,64.76,0.45,7.3,有
信義區,臺北市信義區吳興街２８４巷８號五樓之２,18.41,住,1101115,1030805,土地1建物1車位1,五層,住宅大樓(11層含以上有電梯),117.30000000000001,2,2,2,有,有,28350000,241688,升降機械,57.48,12.95,2.55,有
南港區,臺北市南港區玉成街８７號十三樓之３,38.86,商,1101117,0931216,土地1建物1車位3,十三層,住宅大樓(11層含以上有電梯),391.15999999999997,4,2,3,有,有,78500000,200685,坡道平面,180.19,1.44,16.1,有
北投區,臺北市北投區懷德街４６號十一樓,32.47,住,1101119,0990817,土地1建物1車位0,十一層,住宅大樓(11層含以上有電梯),208.61,4,2,2,有,有,41000888,196543,,112.82,21.75,10.49,有
南港區,臺北市南港區東明街５５號十三樓之１,26.33,住,1101108,0971110,土地1建物1車位1,十三層,住宅大樓(11層含以上有電梯),154.54000000000002,2,2,2,有,有,35550000,302517,坡道平面,67.03,1.0,11.12,有
內湖區,臺北市內湖區星雲街１３１號十四樓之３,13.29,住,1101119,0931222,土地1建物1車位1,十四層,住宅大樓(11層含以上有電梯),114.93,2,2,1,有,有,24600000,214043,坡道平面,52.86,4.07,3.35,有
中山區,臺北市中山區合江街２０巷１０號,19.25,商,1101113,0641217,土地2建物1車位0,一層,公寓(5樓含以下無電梯),59.19,1,1,1,有,無,18800000,317621,,49.87,9.32,0.0,無
大安區,臺北市大安區安和路一段８３號四樓,29.41,住,1101125,0731220,土地3建物1車位1,四層,住宅大樓(11層含以上有電梯),238.26,4,2,2,有,有,67480000,283220,坡道平面,210.05,0.0,17.52,有
南港區,臺北市南港區經園街６６號六樓之２,22.3,住,1101103,0970304,土地1建物1車位1,六層,華廈(10層含以下有電梯),121.87,2,2,1,有,有,23500000,192828,坡道平面,51.9,7.83,3.56,有
南港區,臺北市南港區經貿二路２３５巷３６號八樓,21.28,住,1101125,1031002,土地1建物1車位1,八層,華廈(10層含以下有電梯),125.9,2,1,1,有,有,27220000,216203,坡道機械,67.41,4.09,6.37,有
內湖區,臺北市內湖區康寧路三段７０巷１１１號四樓,45.37,住,1101105,0780807,土地1建物1車位0,四層,公寓(5樓含以下無電梯),130.06,3,2,2,有,有,19680000,151315,,101.23,0.69,15.03,無
中山區,臺北市中山區新生北路三段１２號九樓,4.41,商,1101107,1011011,土地1建物1車位0,九層,住宅大樓(11層含以上有電梯),42.38,1,0,1,有,有,9810000,231477,,23.46,1.39,1.95,有
信義區,臺北市信義區基隆路一段１４３號五樓之７,7.66,商,1101112,0950126,土地1建物1車位0,五層,住宅大樓(11層含以上有電梯),126.1,0,1,1,有,有,31000000,245837,,72.67,0.0,7.02,有
松山區,臺北市松山區市民大道四段３９之１號十八樓,52.38,住,1101125,1090102,土地2建物1車位3,十八層,住宅大樓(11層含以上有電梯),403.58,0,0,0,無,有,181680000,605108,坡道平面,150.81,5.1,26.35,有
士林區,臺北市士林區福華路１４７巷９號,26.0,住,1101115,0610623,土地1建物1車位0,一層,公寓(5樓含以下無電梯),82.97,3,2,2,有,無,19000000,228998,,82.97,0.0,0.0,無
北投區,臺北市北投區奇岩路６之３號五樓,8.9,住,1101104,0701124,土地1建物1車位0,五層,華廈(10層含以下有電梯),42.4,1,1,1,有,有,3700000,87264,,29.59,0.0,4.27,有
信義區,臺北市信義區福德街１３７巷１８弄３號五樓,29.36,住,1101112,0740827,土地1建物1車位0,五層,公寓(5樓含以下無電梯),128.95,4,2,2,有,有,22000000,170609,,94.2,21.78,9.74,無
北投區,臺北市北投區溫泉路１３９號六樓之２２,14.12,都市：其他:特定休閒旅館住宅專用區。,1101119,0661017,土地4建物1車位0,六層,華廈(10層含以下有電梯),53.809999999999995,1,1,1,有,有,3200000,59469,,37.89,0.0,7.05,有
士林區,臺北市士林區福港街２６７號二樓,14.43,住,1101101,0661209,土地1建物1車位0,二層,華廈(10層含以下有電梯),68.12,2,1,1,有,有,10080000,147974,,52.92,0.0,5.2,有
士林區,臺北市士林區忠誠路一段１６巷２３之１號,5.74,住,1101126,0840921,土地2建物1車位0,一層,華廈(10層含以下有電梯),22.35,2,1,1,有,有,5500000,246085,,11.19,1.78,0.0,有
北投區,臺北市北投區溫泉路３０巷１８號,62.53,住,1101125,0571231,土地1建物2車位0,全,透天厝,105.35,0,0,0,無,無,21500000,204082,,105.35,0.0,0.0,無
大安區,臺北市大安區嘉興街３２３巷３號十二樓之１,32.18,住,1101108,0890626,土地2建物1車位1,十二層,住宅大樓(11層含以上有電梯),192.68,3,2,2,有,有,48800000,253283,坡道平面,104.26,3.35,12.81,有
松山區,臺北市松山區延吉街４６巷２號三樓,25.05,住,1101101,0661228,土地1建物1車位0,三層,華廈(10層含以下有電梯),123.7,3,2,2,有,有,30300000,244947,,95.4,0.0,10.75,有
中山區,臺北市中山區民生東路一段８７號三樓之３,3.28,商,1101118,0850917,土地1建物1車位0,三層,華廈(10層含以下有電梯),31.01,1,1,1,有,有,5280000,170268,,20.77,2.03,0.0,有
內湖區,臺北市內湖區東湖路１０６巷７弄４２號四樓,26.69,商,1101108,0750807,土地2建物1車位0,四層,公寓(5樓含以下無電梯),83.07,3,2,2,有,無,11880000,143012,,73.6,0.0,9.47,無
大同區,臺北市大同區錦西街９０之１號三樓,14.7,住,1101110,0660131,土地2建物1車位0,三層,公寓(5樓含以下無電梯),61.8,3,1,1,有,無,11680000,188997,,53.02,0.0,8.78,無
信義區,臺北市信義區信安街１０３巷８號二樓之１,47.26,住,1101115,1100618,土地1建物1車位1,二層,華廈(10層含以下有電梯),126.24,2,2,1,有,有,28880000,276981,升降平面,50.73,5.7,4.46,有
信義區,臺北市信義區信義路五段１５０巷４１６號三樓,22.0,住,1101127,0701204,土地1建物1車位0,三層,公寓(5樓含以下無電梯),77.4,4,0,4,有,無,15600000,201550,,67.19,0.0,10.21,無
中山區,臺北市中山區德惠街１８號十一樓之２,21.57,商,1101109,1041221,土地1建物1車位1,十一層,住宅大樓(11層含以上有電梯),239.94,3,2,2,有,有,58200000,242561,坡道平面,118.8,3.47,16.65,有
內湖區,臺北市內湖區石潭路２７號十樓之１,34.59,都市：其他:辦公服務區(一)(不得作住宅使用)。,1101105,0980831,土地1建物1車位0,十層,住宅大樓(11層含以上有電梯),129.35999999999999,1,1,1,有,有,23280000,179963,,70.03,3.92,9.29,有
內湖區,臺北市內湖區內湖路二段２５３巷３０號九樓之１,44.91,住,1101106,0971008,土地1建物1車位2,九層,住宅大樓(11層含以上有電梯),268.26,4,2,2,有,有,53000000,197562,坡道平面,125.13,5.38,13.77,有
